device_id,cookie_id
id_1,id_10
id_100002,id_10
id_1000035,id_10
id_1000099,id_10
id_1000294,id_10
id_1000305,id_10
id_1000310,id_10
id_1000414,id_10
id_1000497,id_10
id_1000594,id_10
id_1000689,id_10
id_1000709,id_10
id_1000741,id_10
id_100079,id_10
id_1000824,id_10
id_1000868,id_10
id_1000918,id_10
id_100095,id_10
id_1000964,id_10
id_1001391,id_10
id_1001532,id_10
id_100160,id_10
id_1001657,id_10
id_1001701,id_10
id_1001954,id_10
id_1002053,id_10
id_1002212,id_10
id_1002223,id_10
id_1002230,id_10
id_1002264,id_10
id_1002397,id_10
id_1002424,id_10
id_100250,id_10
id_1002580,id_10
id_1002641,id_10
id_1002648,id_10
id_1002657,id_10
id_1002698,id_10
id_1002705,id_10
id_1002806,id_10
id_1002897,id_10
id_1002924,id_10
id_1002940,id_10
id_1003031,id_10
id_100304,id_10
id_1003078,id_10
id_1003120,id_10
id_100346,id_10
id_1003512,id_10
id_1003532,id_10
id_1003829,id_10
id_1003841,id_10
id_1003927,id_10
id_1003957,id_10
id_1003998,id_10
id_1004106,id_10
id_1004281,id_10
id_100429,id_10
id_1004309,id_10
id_1004340,id_10
id_1004352,id_10
id_1004392,id_10
id_1004399,id_10
id_1004429,id_10
id_1004443,id_10
id_1004545,id_10
id_1004583,id_10
id_1004688,id_10
id_1004841,id_10
id_100512,id_10
id_1005220,id_10
id_1005373,id_10
id_1005526,id_10
id_1005568,id_10
id_1005613,id_10
id_1005697,id_10
id_1005777,id_10
id_1005796,id_10
id_1005884,id_10
id_1005888,id_10
id_1006016,id_10
id_1006066,id_10
id_1006072,id_10
id_1006231,id_10
id_100625,id_10
id_1006332,id_10
id_1006338,id_10
id_1006370,id_10
id_1006409,id_10
id_1006495,id_10
id_1006498,id_10
id_1006530,id_10
id_1006669,id_10
id_1006688,id_10
id_1006695,id_10
id_100674,id_10
id_1006876,id_10
id_1006880,id_10
id_1006894,id_10
id_1006895,id_10
id_1006908,id_10
id_1007032,id_10
id_1007080,id_10
id_1007181,id_10
id_1007265,id_10
id_1007333,id_10
id_100734,id_10
id_1007355,id_10
id_1007496,id_10
id_1007648,id_10
id_1007680,id_10
id_1007718,id_10
id_1007837,id_10
id_1007879,id_10
id_1007909,id_10
id_1007931,id_10
id_1007997,id_10
id_1008054,id_10
id_100810,id_10
id_1008121,id_10
id_1008169,id_10
id_1008306,id_10
id_1008355,id_10
id_1008362,id_10
id_1008369,id_10
id_100843,id_10
id_1008445,id_10
id_1008458,id_10
id_1008539,id_10
id_1008593,id_10
id_1008739,id_10
id_1008805,id_10
id_1008830,id_10
id_1008851,id_10
id_1008862,id_10
